input,target
दो दिन से दसत है और गला में दर्द़ है जो गलाई तक फैल रहा है,दो दिन से दस्त है और गला में दर्द है जो कलाई तक फैल रहा है
पायरों में हल्की तेज दरद है,पैरों में हल्की तेज दर्द है
पिछले हफ्ते से आंख में सूजान है और घबराहट भी हो रहा है,पिछले हफ्ते से आंख में सूजन है और घबराहट भी हो रहा है
कळ से मसूड़ों में कड़ापन शुरू हो गया,कल से मसूड़ों में कड़ापन शुरू हो गया
खाना खाने के बाद घुटना में झनझनाहट हता है,खाना खाने के बाद घुटना में झनझनाहट होता है
कल सेदांत मेंसुन्नपन शुरू हो गया,कल से दांत में सुन्नपन शुरू हो गया
मुझे उल्टी और वजन बढ़णा है और मुझे सर्दी और चक्कर है,मुझे उल्टी और वजन बढ़ना है और मुझे सर्दी और चक्कर है
दोपहर से से टखना में दर्दे है और पिछले हफ्ते से पीठ में दर्द है और चक्कर भी हो रहा है,दोपहर से से टखना में दर्द है और पिछले हफ्ते से पीठ में दर्द है और चक्कर भी हो रहा है
पिछलेहफ्ते से नाक में तेज दर्द है और वजन बढ़ना भी हो रहाहै,पिछले हफ्ते से नाक में तेज दर्द है और वजन बढ़ना भी हो रहा है
उंगलियों में डर्ड है जो छाती तक फैल रहा है,उंगलियों में दर्द है जो छाती तक फैल रहा है
क़भी-कभी पैरों में कड़ापन होता है,कभी-कभी पैरों में कड़ापन होता है
जब खड़ा होता करता हूं तो घुटनोंमें सूजन होता है,जब खड़ा होता करता हूं तो घुटनों में सूजन होता है
मुझे हात में दर्द है,मुझे हाथ में दर्द है
एक हफ्ते से से पैरमें तेज दर्द है,एक हफ्ते से से पैर में तेज दर्द है
आंखमें जलन और घबराहटहै और शाम से से गर्दन में सूजन है,आंख में जलन और घबराहट है और शाम से से गर्दन में सूजन है
जब खाता कडदा हूं तो पेट में सुन्नपन होता है,जब खाता करता हूं तो पेट में सुन्नपन होता है
पिछले हफ्ते से उंगली में भारीपन है और बेचैनी भी हो रहा है,पिछले हफ्ते से उंगली में भारीपन है और बेचैनी भी हो रहा है
जब सोता करता हूं तो गलामें सुन्नपन होता है,जब सोता करता हूं तो गला में सुन्नपन होता है
एक हफ्ते से से उंगली में तेज दर्द है और पिछले हफ्ते से सि र में भारीपन है और खांसी भी हो रहा है,एक हफ्ते से से उंगली में तेज दर्द है और पिछले हफ्ते से सिर में भारीपन है और खांसी भी हो रहा है
परसों से से हात में खुजली है,परसों से से हाथ में खुजली है
पिछले हफ्ते से आंखों में सूज़न है और कमजोरी भी हो रहा है,पिछले हफ्ते से आंखों में सूजन है और कमजोरी भी हो रहा है
आंख पीला लग रहा है,आंख पीला लग रहा है
सुबह से से गले में तेजदर्द है,सुबह से से गले में तेज दर्द है
छाती में दर्द है जो दांत तक फैल रहा है और गर्दन में बहुततेज खुजलि है,छाती में दर्द है जो दांत तक फैल रहा है और गर्दन में बहुत तेज खुजली है
उंगलियों में जलान है झो कलाई तक फैल रहा है,उंगलियों में जलन है जो कलाई तक फैल रहा है
पिछले हफ्ते से कंधा में झनझनाहट है और बेचैनी भी हो रहा है,पिछले हफ्ते से कंधा में झनझनाहट है और बेचैनी भी हो रहा है
पिछले हफ्ते से दांत में दर्द है और बुखर भी हो रहा है और शाम से से पैर में शूजन है,पिछले हफ्ते से दांत में दर्द है और बुखार भी हो रहा है और शाम से से पैर में सूजन है
मुझे घबराहट और सर्दी है,मुझे घबराहट और सर्दी है
पि छले हफ ्ते से हाथों में कड़ापन है और पसीना आना भी हो रहा है,पिछले हफ्ते से हाथों में कड़ापन है और पसीना आना भी हो रहा है
हाथों में तेज जलन है,हाथों में तेज जलन है
पैरों में झनझनाहट है जो हाथ्ों तक फैल रहा है,पैरों में झनझनाहट है जो हाथों तक फैल रहा है
खल से सेकंधा में झनझनाहट है,कल से से कंधा में झनझनाहट है
पिछले हफ्थे से हाथ में तेज दर्द है और सांस लेने में तकलीफ भीहो रहा है,पिछले हफ्ते से हाथ में तेज दर्द है और सांस लेने में तकलीफ भी हो रहा है
मुझे आंखों में ऐंठन है,मुझे आंखों में ऐंठन है
परसों से से हाथ में सुजन है,परसों से से हाथ में सूजन है
कान में बहुत तेज तेज दर्दहै,कान में बहुत तेज तेज दर्द है
पैट में कड़ापन हो रहा है,पेट में कड़ापन हो रहा है
"कमर में ऐंठन है जो उंगलियों तक फैल रहा ह और हां, पेट में खजलि ह","कमर में ऐंठन है जो उंगलियों तक फैल रहा है और हां, पेट में खुजली है"
कल से सेआंख में झनझनाहट है,कल से से आंख में झनझनाहट है
कभी-कभी गले में दर्दे होता है,कभी-कभी गले में दर्द होता है
पिछले हफ्ते से पेरों में सुन्नपन है और सांस लेने में तकलीफ भी हो रहा है,पिछले हफ्ते से पैरों में सुन्नपन है और सांस लेने में तकलीफ भी हो रहा है
मेरै गर्दन में बहुत कढ़ापन है,मेरे गर्दन में बहुत कड़ापन है
पिछले हफ्टे से गले में ऐंठन है और खांसी भी हो रहा है,पिछले हफ्ते से गले में ऐंठन है और खांसी भी हो रहा है
कंधा में तेज दर्द है जो उंगली तक फैल रहा है,कंधा में तेज दर्द है जो उंगली तक फैल रहा है
जब खाताकरता हूं तो कंधा में भारीपनहोता है और उंगली में झनझनाहट और वजन कम होना है,जब खाता करता हूं तो कंधा में भारीपन होता है और उंगली में झनझनाहट और वजन कम होना है
उंगलियों में कड़ापन है जो घुटना तक फैल रहा है,उंगलियों में कड़ापन है जो घुटना तक फैल रहा है
दांत में दर्द है जो गले तक फैल रहा है और पिछले हफ्ते षे छाती में कड़ापन है और उल्टी भी हो रहा है,दांत में दर्द है जो गले तक फैल रहा है और पिछले हफ्ते से छाती में कड़ापन है और उल्टी भी हो रहा है
आंखों में तेज दर्द है जो परै तक फैल रहा है,आंखों में तेज दर्द है जो पैर तक फैल रहा है
पिछले हफ्ते से आंख में सूजन है और भूख नहीं लगना भी हो रह है,पिछले हफ्ते से आंख में सूजन है और भूख नहीं लगना भी हो रहा है
कमर में झनझनाहट और बुखर है,कमर में झनझनाहट और बुखार है
हाथों में सुन्नपन है जो छाती तक फैल रहा है और जब बैठता करता हूं तो सिर में तेज दर्द होता है,हाथों में सुन्नपन है जो छाती तक फैल रहा है और जब बैठता करता हूं तो सिर में तेज दर्द होता है
छाती में झनझनाहट है जो घुटमों तक फैल रहा है,छाती में झनझनाहट है जो घुटनों तक फैल रहा है
मुझे बुखार और घबराहट है और घुटनों में तेज दर्द है जो पैरों तक फैर रहा है,मुझे बुखार और घबराहट है और घुटनों में तेज दर्द है जो पैरों तक फैल रहा है
पिछले हफ्ते से मसूड़ों में खुजली है और नींध नहीं आना भी हो रहा है,पिछले हफ्ते से मसूड़ों में खुजली है और नींद नहीं आना भी हो रहा है
कंधों में भारीपनहै जो दांत तक फैल रहा है,कंधों में भारीपन है जो दांत तक फैल रहा है
हाथ में सूजन और वजन कम हन है,हाथ में सूजन और वजन कम होना है
सुबह से परै में सूजन है,सुबह से पैर में सूजन है
पिछलेहफ्ते से कंधामें सूजन है और चाकर भी हो रहा है,पिछले हफ्ते से कंधा में सूजन है और चक्कर भी हो रहा है
कभी-कभी छाती में खुजली होदा है,कभी-कभी छाती में खुजली होता है
जब सीढ़ी चढ़ता करता हूं तो छाती में सुन्नपन होथा है,जब सीढ़ी चढ़ता करता हूं तो छाती में सुन्नपन होता है
पिछले हफ्ते से उंगली में कड़ापन है और चख्कर भी हो रहा है,पिछले हफ्ते से उंगली में कड़ापन है और चक्कर भी हो रहा है
कमर मे जलन और बेचैनी है,कमर में जलन और बेचैनी है
तीन दिन से सेकंधों में सुन्नपन है औरबहुत खांसी महसूस हो रहा है,तीन दिन से से कंधों में सुन्नपन है और बहुत खांसी महसूस हो रहा है
सुबह से कलाई में दरद है,सुबह से कलाई में दर्द है
मसूड़ों में अंठन हो रहा है और वजन बढ़ना की समस्या है,मसूड़ों में ऐंठन हो रहा है और वजन बढ़ना की समस्या है
हाथ में तेज कड़ापन है और दांत में तेज दर्द है जो हाथों तक फैल रहा है,हाथ में तेज कड़ापन है और दांत में तेज दर्द है जो हाथों तक फैल रहा है
कान मेंतेज कड़ापन है,कान में तेज कड़ापन है
जब बैठता करता हूं तो आंखों में झनझनाहट होता है,जब बैठता करता हूं तो आंखों में झनझनाहट होता है
पस ीना आना के साथ चक्कर भी है,पसीना आना के साथ चक्कर भी है
जब सोता करता हूं तो कान् में खुजली होता है और छाती में सुन्नपन और घबराहट है,जब सोता करता हूं तो कान में खुजली होता है और छाती में सुन्नपन और घबराहट है
"हां, पैर में खुजली है","हां, पैर में खुजली है"
पेट में सूजान है जो पैरों तक फैल रहा है,पेट में सूजन है जो पैरों तक फैल रहा है
परै में हल्की दर्द है,पैर में हल्की दर्द है
घुटनों में जालन और भूख नहीं लगना है,घुटनों में जलन और भूख नहीं लगना है
जब खड़ा होता करता हूं तो टखना नें सूजन होता है और खाना खाने के बाद जीभ में सूजन होता है,जब खड़ा होता करता हूं तो टखना में सूजन होता है और खाना खाने के बाद जीभ में सूजन होता है
कभी-कभी हाथों में सूजन होता है और कंधों में सूजान और चक्कर है,कभी-कभी हाथों में सूजन होता है और कंधों में सूजन और चक्कर है
परसों से से छाथी में झनझनाहट है और जब काम करता करता हूं तो गला में झनझनाहट होता है,परसों से से छाती में झनझनाहट है और जब काम करता करता हूं तो गला में झनझनाहट होता है
पिछले हफ्ते से पैरों में खुजली है और खांसी भी हो रहा है,पिछले हफ्ते से पैरों में खुजली है और खांसी भी हो रहा है
परसों षे से आंखों में षूजन है,परसों से से आंखों में सूजन है
पीठ में खुजली और उलटी है,पीठ में खुजली और उल्टी है
कलाई में भारीपन है जो अखं तक फैल रहा है,कलाई में भारीपन है जो आंख तक फैल रहा है
जब खाता करता हूं तो हाथों में झनझनाहट होता है औल गले में सूजन और घबराहट है,जब खाता करता हूं तो हाथों में झनझनाहट होता है और गले में सूजन और घबराहट है
नींद नहीं आणा के साथ बेचैनी भी है,नींद नहीं आना के साथ बेचैनी भी है
जब चलता करता हूं तो बैर में तेज दर्द होता है,जब चलता करता हूं तो पैर में तेज दर्द होता है
कमर में भारीपन है जो घुटनों तक फैल रहा है,कमर में भारीपन है जो घुटनों तक फैल रहा है
कंधों में ऐंठम है जो कान तक फैल रहा है,कंधों में ऐंठन है जो कान तक फैल रहा है
कल से से अखंों में ऐंठन है और हाथों में खुजली है जो कंधों तक फैल रहा है,कल से से आंखों में ऐंठन है और हाथों में खुजली है जो कंधों तक फैल रहा है
